fiscal_year,month_numeric,month,category,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2022-2023,11,November,(INCOME / EXPENDITURE OF NSSF),5069.50,71751.84,5392.51,67797.79,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(INCOME / EXPENDITURE OF NSSF),3038.65,74790.49,4289.21,72087.00,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(INCOME / EXPENDITURE OF NSSF),739.35,75529.84,1721.80,73808.80,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(INCOME / EXPENDITURE OF NSSF),6374.87,81904.71,7106.46,80915.26,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(INCOME / EXPENDITURE OF NSSF),-56799.25,25105.46,-43534.30,37380.96,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(OTHERS),-4401.13,-4401.13,-35539.43,-35539.43,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(OTHERS),113021.36,108620.23,16022.00,-19517.43,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(OTHERS),-38313.77,70306.46,12103.58,-7413.85,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(OTHERS),-110491.95,-40185.49,-8775.07,-16188.92,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(OTHERS),12188.79,-27996.70,12820.02,-3368.90,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(OTHERS),-6276.07,-34272.77,21936.48,18567.58,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(OTHERS),42084.11,7811.34,-30916.42,-12348.84,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(OTHERS),3197.19,11008.53,9990.39,-2358.45,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(OTHERS),6029.08,17037.61,17679.82,15321.37,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(OTHERS),55238.75,72276.36,5564.12,20885.49,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(OTHERS),-19662.81,52613.55,-970.14,19915.35,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(OTHERS),62556.13,115169.68,81281.31,101196.66,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-83210,-118562,19476,-213096,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-261190,-296542,-116252,-348824,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-305271,-340623,-161620,-394192,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-296950,-332302,-139067,"-371,639",2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-255099,-290451,-127221,-359793,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-204761,-240113,-180922,-413494,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-223706,-259058,-179782,-412354,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-154784,-190136,-100388,-332960,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-167573,-202925,-99703,-332275,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-174803,-210155,-142485,-375057,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-86282,-121634,45441,-187131,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),35352,0.00,197220,-35352,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(WAYS AND MEANS ADVANCES),0.00,0.00,0.00,0.00,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(WAYS AND MEANS ADVANCES),48677.00,48677.00,0.00,0.00,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,EXTERNAL FINANCING,1891.41,1891.41,2705.39,2705.39,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,EXTERNAL FINANCING,1980.58,3871.99,3555.23,6260.62,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,EXTERNAL FINANCING,33.67,3905.66,4183.89,10444.51,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,EXTERNAL FINANCING,3547.90,7453.56,-151.38,10293.13,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,EXTERNAL FINANCING,2721.65,10175.21,1588.45,11881.58,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,EXTERNAL FINANCING,-2990.70,7184.51,229.33,12110.91,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,EXTERNAL FINANCING,2682.14,9866.65,2344.03,14454.94,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,EXTERNAL FINANCING,614.55,10481.20,519.66,14974.60,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,EXTERNAL FINANCING,18349.47,28830.67,2769.43,17744.03,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,EXTERNAL FINANCING,3599.88,32430.55,9595.01,27339.04,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,EXTERNAL FINANCING,4285.06,36715.61,844.90,28183.94,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,EXTERNAL FINANCING,18405.22,55120.83,8939.81,37123.75,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,DOMESTIC FINANCING,131703.53,131703.53,72140.51,72140.51,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,DOMESTIC FINANCING,74711.93,206415.46,125520.34,197660.85,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,DOMESTIC FINANCING,241048.61,447464.07,143766.00,341426.85,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,DOMESTIC FINANCING,150674.98,598139.05,-10888.86,330537.99,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,DOMESTIC FINANCING,34511.74,632650.79,199181.74,529719.73,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,DOMESTIC FINANCING,62025.70,694676.49,78018.34,607738.07,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,DOMESTIC FINANCING,99156.85,793833.34,135943.67,743681.74,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,DOMESTIC FINANCING,102269.93,896103.27,219498.11,963179.85,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,DOMESTIC FINANCING,57344.55,953447.82,12052.32,975232.17,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,DOMESTIC FINANCING,116723.54,1070171.36,188233.67,1163465.84,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,DOMESTIC FINANCING,394477.79,1464649.15,262211.82,1425677.66,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,DOMESTIC FINANCING,133899.85,1598549.00,274953.28,1700630.94,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(MARKET BORROWINGS),73089.13,73089.13,111674.78,111674.78,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(MARKET BORROWINGS),110147.75,183236.88,166050.56,277725.34,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(MARKET BORROWINGS),219922.35,403159.23,199281.22,477006.56,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(MARKET BORROWINGS),154410.82,557570.05,61803.77,538810.33,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(MARKET BORROWINGS),77820.97,635391.02,117823.05,656633.38,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(MARKET BORROWINGS),-266282.93,369108.09,-14727.83,641905.55,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(MARKET BORROWINGS),468998.60,838106.69,110873.18,752778.73,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(MARKET BORROWINGS),-26231.04,811875.65,126976.75,879755.48,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(MARKET BORROWINGS),81247.13,893122.78,5778.00,885533.48,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(MARKET BORROWINGS),113499.37,1006622.15,120177.40,1005710.88,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(MARKET BORROWINGS),269959.77,1276581.92,168086.50,1173797.38,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(MARKET BORROWINGS),-8945.69,1267636.23,-11957.46,1161839.92,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(SECURITIES AGAINST SMALL SAVINGS),-41532.90,-41532.90,-23315.89,-23315.89,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(SECURITIES AGAINST SMALL SAVINGS),-7301.32,-48834.22,-5040.81,-28356.70,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(SECURITIES AGAINST SMALL SAVINGS),-9059.18,-57893.40,-6964.77,-35321.47,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(SECURITIES AGAINST SMALL SAVINGS),130277.13,72383.73,55937.83,20616.36,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(SECURITIES AGAINST SMALL SAVINGS),-8377.18,64006.55,-6536.69,14079.67,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(SECURITIES AGAINST SMALL SAVINGS),44260.50,108267.05,103704.68,117784.35,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(SECURITIES AGAINST SMALL SAVINGS),59432.26,167699.31,-6258.07,111526.28,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(SECURITIES AGAINST SMALL SAVINGS),25978.25,193677.56,42695.33,154221.61,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(SECURITIES AGAINST SMALL SAVINGS),22212.82,215890.38,17532.12,171753.73,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(SECURITIES AGAINST SMALL SAVINGS),22680.14,238570.52,-7130.56,164623.17,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(SECURITIES AGAINST SMALL SAVINGS),-15937.14,222633.38,10034.07,174657.24,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(SECURITIES AGAINST SMALL SAVINGS),228765.89,451399.27,221202.49,395859.73,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(STATE PROVIDENT FUNDS),3746.05,3746.05,1285.38,1285.38,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(STATE PROVIDENT FUNDS),-2812.21,933.84,-3222.63,-1937.25,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(STATE PROVIDENT FUNDS),-511.60,422.24,-2037.04,-3974.29,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(STATE PROVIDENT FUNDS),-1357.70,-935.46,-669.48,-4643.77,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(STATE PROVIDENT FUNDS),-2680.84,-3616.30,-853.04,-5496.81,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(STATE PROVIDENT FUNDS),-665.51,-4281.81,1396.13,-4100.68,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(STATE PROVIDENT FUNDS),460.28,-3821.53,93.03,-4007.65,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(STATE PROVIDENT FUNDS),-214.36,-4035.89,-1330.36,-5338.01,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(STATE PROVIDENT FUNDS),-351.90,-4387.79,-244.08,-5582.09,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(STATE PROVIDENT FUNDS),-2191.49,-6579.28,-1144.05,-6726.14,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(STATE PROVIDENT FUNDS),-411.67,-6990.95,-1041.00,-7767.14,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(STATE PROVIDENT FUNDS),12061.44,5070.49,12855.69,5088.55,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-18.54,-18.54,-11.71,-11.71,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",2467.55,2449.01,-70.66,-82.37,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-3037.84,-588.83,-32.73,-115.10,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",1601.00,1012.17,6512.06,6396.96,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",1730.95,2743.12,2523.72,8920.68,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-5311.51,-2568.39,-5886.40,3034.28,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-479.80,-3048.19,-22343.08,-19308.80,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-6376.23,-9424.42,741.15,-18567.65,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-8094.78,-17519.20,-7720.54,-26288.19,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-544.85,-18064.05,-2103.13,-28391.32,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-4170.69,-22234.74,-638.91,-29030.23,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-1411.17,-23645.91,162.76,-28867.47,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(NATIONAL SMALL SAVING FUND),93225.45,93225.45,65129.54,65129.54,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(NATIONAL SMALL SAVING FUND),51524.01,144749.46,32762.38,97891.92,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(NATIONAL SMALL SAVING FUND),49698.44,194447.90,35914.69,133806.61,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(NATIONAL SMALL SAVING FUND),-102701.66,91746.24,-32302.63,101503.98,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(NATIONAL SMALL SAVING FUND),44390.15,136136.39,32185.26,133689.24,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(NATIONAL SMALL SAVING FUND),16764.29,152900.68,-50440.77,83248.47,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(NATIONAL SMALL SAVING FUND),-30921.46,121979.22,30350.04,113598.51,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(NATIONAL SMALL SAVING FUND),2128.28,124107.50,-21703.76,91894.75,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(NATIONAL SMALL SAVING FUND),6296.26,130403.76,3466.00,95360.75,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(NATIONAL SMALL SAVING FUND),3553.59,133957.35,30425.29,125786.04,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(NATIONAL SMALL SAVING FUND),45128.34,179085.69,16913.64,142699.68,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(NATIONAL SMALL SAVING FUND),-166643.01,12442.68,-169390.41,-26690.73,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(SAVINGS DEPOSITS AND CERTIFICATES),28001.40,28001.40,18279.18,18279.18,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(SAVINGS DEPOSITS AND CERTIFICATES),33486.65,61488.05,16743.43,35022.61,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(SAVINGS DEPOSITS AND CERTIFICATES),29709.72,91197.77,19352.49,54375.10,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(SAVINGS DEPOSITS AND CERTIFICATES),29452.07,120649.84,20014.62,74416.72,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(SAVINGS DEPOSITS AND CERTIFICATES),24061.26,144711.10,15611.01,90027.73,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(SAVINGS DEPOSITS AND CERTIFICATES),23990.79,168701.89,15488.89,105516.62,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(SAVINGS DEPOSITS AND CERTIFICATES),18223.83,186925.72,13175.20,118691.82,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(SAVINGS DEPOSITS AND CERTIFICATES),19028.43,205954.15,11089.38,129781.20,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(SAVINGS DEPOSITS AND CERTIFICATES),21355.19,227309.34,13103.16,142884.36,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(SAVINGS DEPOSITS AND CERTIFICATES),21089.82,248399.16,13319.92,156204.28,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(SAVINGS DEPOSITS AND CERTIFICATES),18712.16,267111.32,13034.41,169238.69,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(SAVINGS DEPOSITS AND CERTIFICATES),42639.39,309750.71,30829.27,200067.96,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(PUBLIC PROVIDENT FUNDS),10004.88,10004.88,11869.14,11869.14,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(PUBLIC PROVIDENT FUNDS),3444.94,13449.82,3538.51,15407.65,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
