fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,9,September,Food Subsidy,242836.00,131251.25,83074.91,54%,(72%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Nutrient Based Fertilizers Subsidy,20762.00,16853.35,11576.91,81%,(49%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Urea Subsidy,58767.68,31584.15,43814.27,54%,(92%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Petroleum,14073.35,1269.75,17743.88,9%,(43%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Total Major Subsidies,336439.03,180958.50,156209.97,54%,(69%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,10,October,Food Subsidy,242836.00,155166.39,105203.19,64%,(91%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Nutrient Based Fertilizers Subsidy,20762.00,18218.47,12795.43,88%,(54%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Urea Subsidy,58767.68,35258.59,48010.53,60%,(100%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Petroleum,14073.35,1272.31,19390.67,9%,(47%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Total Major Subsidies,336439.03,209915.76,185399.82,62%,(81%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,11,November,Food Subsidy,242836.00,164197.52,116261.35,68%,(101%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Nutrient Based Fertilizers Subsidy,20762.00,24218.38,15801.69,117%,(67%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Urea Subsidy,58767.68,40849.17,49930.65,70%,(104%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Petroleum,14073.35,1341.54,20125.01,10%,(49%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Total Major Subsidies,336439.03,230606.61,202118.70,69%,(89%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,12,December,Food Subsidy,242836.00,185768.72,125302.05,76%,(108%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
