fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,12,December,Other Non-Tax Revenue Social Services,4268.59,2748.83,64%,(57%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Other Non-Tax Revenue Economic Services (Net),188825.02,28979.59,15%,(48%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,1067.14,131%,(33%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Total Other Non-Tax Revenue,216277.23,42937.38,20%,(52%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,Net Non-Tax Revenue,385017.30,126181.09,33%,(77%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,A. Interest Receipts,20894.00,18170.34,87%,(90)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,B. Dividends and Profits,147353.00,141752.97,96%,(77)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,C. Non-Tax Revenue of U.T.s,2530.64,1602.32,63%,(60)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,D. Other Non-Tax Revenue,,,,,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Other Non-Tax Revenue Fiscal Services (Net),1183.72,70.16,6%,(10)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Other Non-Tax Revenue General Services (Net),16084.32,17287.36,107%,(73)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Other Non-Tax Revenue Social Services,3375.31,3366.50,100%,(93)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Other Non-Tax Revenue Economic Services (Net),121025.48,108020.80,89%,(48)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Other Non-Tax Revenue Grants-in-Aid and Contributions,1344.84,1214.09,90%,(76)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Total Other Non-Tax Revenue,143013.67,129958.91,91%,(54)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,Net Non-Tax Revenue,313791.31,291484.54,93%,(67)%,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,A. Interest Receipts,20894.00,20175.50,9 7%,(99)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,B. Dividends and Profits,147353.00,146600.42,99%,(85)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,C. Non-Tax Revenue of U.T.s,2530.64,1763.22,70%,(65)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,D. Other Non-Tax Revenue,,,,,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Other Non-Tax Revenue Fiscal Services (Net),1183.72,82.91,7%,(12)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
