fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2025-2026,10,October,Other Non-Tax Revenue Social Services,11187.46,4308.49,39%,(56%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Other Non-Tax Revenue Economic Services (Net),158827.43,119307.44,75%,(49%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,126.79,11%,(14%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Total Other Non-Tax Revenue,206842.84,143095.12,69%,(51%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Net Non-Tax Revenue,583000.00,489078.73,84%,(73%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,A. Interest Receipts,47737.98,24531.32,51%,(70%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,B. Dividends and Profits,325000.00,339542.43,104%,(97%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,C. Non-Tax Revenue of U.T.s,3419.18,1261.43,37%,(64%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,D. Other Non-Tax Revenue,,,,,2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Other Non-Tax Revenue Fiscal Services (Net),2318.68,962.16,41%,(67%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Other Non-Tax Revenue General Services (Net),33334.74,20597.15,62%,(84%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Other Non-Tax Revenue Social Services,11187.46,4629.39,41%,(63%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Other Non-Tax Revenue Economic Services (Net),158827.43,124108.07,78%,(51%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,734.40,63%,(15%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Total Other Non-Tax Revenue,206842.84,151031.17,73%,(55%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Net Non-Tax Revenue,583000.00,516366.35,89%,(78%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,A. Interest Receipts,47737.98,27975.86,59%,(78%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,B. Dividends and Profits,325000.00,350268.71,108%,(98%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,C. Non-Tax Revenue of U.T.s,3419.18,1263.39,37%,(72%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,D. Other Non-Tax Revenue,,,,,2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Other Non-Tax Revenue Fiscal Services (Net),2318.68,989.98,43%,(68%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Other Non-Tax Revenue General Services (Net),33334.74,22854.09,69%,(94%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Other Non-Tax Revenue Social Services,11187.46,4972.37,44%,(68%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Other Non-Tax Revenue Economic Services (Net),158827.43,130754.15,82%,(56%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Other Non-Tax Revenue Grants-in-Aid and Contributions,1174.53,776.96,66%,(61%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Total Other Non-Tax Revenue,206842.84,160347.55,78%,(61%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Net Non-Tax Revenue,583000.00,539855.51,93%,(82%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
